show_id,director_id,actor_id
195,0,1443
195,0,1444
195,0,1445
195,0,1446
195,0,1447
195,0,1448
195,0,1449
195,0,1450
195,0,1451
195,0,1452
196,138,1453
196,138,1454
196,138,1455
196,138,1456
196,138,1457
196,138,1458
196,138,1459
196,138,1460
196,138,1461
196,138,1462
197,139,1463
197,139,1464
197,139,1465
197,139,1466
197,139,1467
197,139,1468
197,139,1469
197,139,1470
197,139,1471
197,139,1472
198,0,1473
198,0,1474
198,0,1475
198,0,1476
198,0,1477
198,0,1478
198,0,1479
198,0,1480
198,0,1481
198,0,1482
198,0,1483
198,0,861
198,0,1484
199,49,514
199,49,366
199,49,383
199,49,1485
199,49,1486
199,49,517
199,49,516
199,49,1487
199,49,1488
199,49,1489
199,49,385
199,49,1490
199,49,1491
199,49,363
199,49,1492
199,49,518
200,140,1493
200,140,1494
200,140,1495
200,140,1496
200,140,1497
200,140,1498
200,140,1499
200,140,1500
201,141,1501
201,141,1502
201,141,1494
201,141,1503
201,141,1504
201,141,1505
201,141,1506
201,141,1507
202,142,1433
202,142,1508
202,142,1494
202,142,1504
202,142,1509
202,142,1510
202,142,1511
202,142,785
202,142,1512
202,142,1513
202,143,1433
202,143,1508
202,143,1494
202,143,1504
202,143,1509
202,143,1510
202,143,1511
202,143,785
202,143,1512
202,143,1513
203,144,1433
203,144,1514
203,144,1502
203,144,1515
203,144,1434
203,144,1516
204,145,1433
204,145,1493
204,145,1517
204,145,1518
204,145,1519
204,145,1520
204,145,1521
204,145,1522
204,145,1523
204,145,1524
205,137,1433
205,137,1514
205,137,1434
205,137,1525
205,137,1526
205,137,1527
205,137,1528
205,137,1529
205,137,1530
206,146,1531
206,146,1532
206,146,1533
206,146,1434
206,146,1534
206,146,1535
206,146,790
206,146,1536
207,147,1537
207,147,1538
207,147,1539
207,147,1540
207,147,1541
